id,name,sname,type,desc,hp,atk,def,agi,spd,mag,mdf,teamname,winstrings,losestrings,attackstrings,hurtstrings,movestrings,waitstrings,insultstrings,complimentstrings,readystrings,healstrings,hazardstrings,3killstrings,5killstrings,ai_memory,ai_brave,ai_coward,ai_wait,ai_help,ai_talk
0,Sir Frankfurt,Frankfurt,Sausage Knight,A mustachioed knight-errant with a a penchant for preserved meats.,50,5,3,4,2,1,2,Sausage Fest,Another win for Sir Frankfurt!|{Wooooooooo!}|{For Sausages!},"Ah, phooey!|Heck. I lost.",Hyah!|Hwoah!|By Salami!,Ow!|Ugh!,I shall be discrete now!|Must dash!,Hmm… I should slow down.|(cricks his neck.),Unsatisfactory!|(chortles.),Excellent shot!|Well placed!,To war!,Ahh…,(looks up and gulps.),I've done for three of you. Gonna do anything about it?,I have won against five of you! Man I'm good!,3,5,2,3,4,4
1,Lord Sharpe,Sharpe,Sword Lord,"Equally proficient in the blade and the mind, Sharpe spares none.",50,4,4,2,3,3,4,Sharpe's Finest,Hmph. Amateurs.|None shall stand against me.|They never had a chance.,Damnation! Foiled again!|{I'll get you next time…!},Hurh!|Heyah!|Come on!,Urg!|Eep!,I have to pick my battles…|(retreats!),Tch. Where are they?|I'll let them come instead.,"(sneers.)|(looks aside, embarrassed.)",Accurate.|Excellent form.,En guarde!,Much better.,(feels very endangered suddenly.),Three of you down. Predictable!,Five down! I stand above my competition!,3,3,2,2,2,3
2,Wizard Wigbeard,Wigbeard,Hairy Wizard,"A spell-slinger with a comically large, conical hat and ragged hair.",50,1,2,5,3,5,4,Wigbeard's Wigglers,Woof. That got hairy! Hehehe.|Is this a victory I see before me? Yes it is!|(makes threatening wiggly fingers.),Aww fiddlesticks.|I got wiggled on…,Take this!|Hiyah!|Perish!,Hrk!|Ug!,I gotta avoid someone.|(shifts position.),Contemplating…|(pats himself down.),Poor show!|(waggles his finger.),"Good shot, congratulations.|Not bad at all!",Time to wiggle!,Needed that.,"Ah, fie.",I've zapped three of you. Who's next?,Hehehehe! Five lives claimed! I'm amazing!,4,3,3,2,3,2
3,Tim the Enchanter,Tim,Reclusive Hermit,Has dominion over explosions and navigating knights past rabbits.,50,2,2,3,2,4,5,Tim and the Enchanted,There are some who call me … a winner.|Thought you could out-sorcel me?|(causes an explosion to happen.),Drat!|I've been had!,I zap you!|Fry!|Zap!,Oww!|Oof!,I'm not sticking around.|(looks about nervously.),Thinking…|(examines his staff for cracks.),"Nice one, moron.|(just shakes his head.)",I admire your bravery.|Skillful.,Who summons me?,Tingly…,"Oh, bugger.","Three down, many to go…",Five of you can't hold a candle to me!,4,2,4,3,3,3
4,Spiv the Cowardly,Spiv,Sneak Thief,"A shameless and sneaky thief, convinced of their own superiority.",50,4,2,5,4,2,1,Spiv's Sliders,Ufufufu. Spiv prevails!|Hah. You're all too slow!|I'm no coward - I'm just interested in living longer than youse did.,{Nuts!}|Egh! They got me!,Look out!|Here I come!|Gotcha!,Urk!|Henk!,"Eee, I'm getting out!|(makes himself scarce.)",Waiting…|(looks about opportunistically.),Too slow!|What's the matter?,Credit where its due: Good one.|That was slick.,Here we go!,Not dying yet.,(loses his grin for a moment.),"That's three, and I can take three more!",I can't believe my luck! I got five of you!,2,3,5,4,1,2
5,Knight Chester,Chester,The Wall,"A royal guard without a king, wandering with his sword and armour.",50,5,5,2,1,1,1,Bricks and the Wall,"Slow and steady wins the war.|Come break your arm fighting me, I dare you!|(lifts his greatsword over his shoulder and smiles.)",Hrmph…|It wasn't my time…,Brace yourself!|Incoming!|Hurgh!,Agh!|Ouch!,I'm repositioning.|This is not safe.,I'm waiting.|(wipes his greatsword clean.),Weak!|Inadequate performance.,"(is surprised, whistles.)|Colour me interested.",Who stands in my way?,My fight's not over.,"Oh dear, here it comes!","I'm worth three of you, y'hear me?",I've bested five of you. Gonna do anything about it?,2,5,1,2,3,3
6,Balanced Declan,Declan,All-Arounder,A traveller who has an answer for every situation in their way.,50,3,3,3,3,3,3,Declan's Troubadours,There was something for everyone.|Whew! That was a close one!|A little of everything can be bigger than all of something!,"Aw, no.|I did not think this one through…",Hmf!|Hrn!|Hah!,Ouch!|Ouh!,Can't catch me!|You'll have to catch me first!,(hums a tune.)|(writes sheet music.),You missed!|Can't get me!,"Nice one, mate!|An inspired shot!",Let's rock!,That feels good.,(grimaces.),Got me a threefer!,"Five of you, now that's a handful!",3,4,3,2,5,4
7,Mott Scorrison,Mott,Prime Minister?,"Who? Oh, them. Mendacious and dishonest to the extreme.",50,1,1,1,1,1,1,The 45th Parliament,"Wait, I won?|Win by default! De-Fault! De-Fault!|That wasn't supposed to wi- wait, I planned this. Totally.","…aw, not again.|Jobbing's not glorious, but…",Jobs and growth!|Have a go!|Boats!,Oof!|Yikes!,I'm avoiding you!|I can't answer that!,I'm planning…|(twiddles his thumbs.),How good is that?|(laughs aloud.),(makes an enthused thumbs up.)|How good is that?,Time for a boondoggle!,Phew. Health!,(tries to negotiate with the incoming hazard.),Three! See? I got three of ya!,Yes! I got five of ya!,1,1,5,4,2,5
8,Crazy Ivan,Ivan,Glass Cannon,Watch out! High risk and high reward are Ivan's bread and butter.,50,4,1,4,1,4,1,Ivan's Crazies,"(cackles madly.)|In Ivan's arena, you defeat you!|(engages in maniacal laughter.)",Ees not fair!|Ivan is dead now. Blarg.,Ivan attack you!|I attack!|Ivan fight!,Eek!|(yowls.),Ivan run away from you.|Ivan consider other option.,Ivan think.|(rolls on the ground.),Ivan mock you!|(blows raspberries.),Ivan think you good!|(bounces joyfully.),{IVAN FIGHT!},Ivan healthy.,Where is shadow coming from?,Ivan take out three of you!,Ivan now win against five of you!,2,4,4,2,1,4
9,Bastion Millon,Millon,Stone Wall,The best defence is a good defence for the heavy armoured Millon.,50,3,5,1,2,1,4,Millon and the Bulwarks,"There was something in my way, now there isn't.|What is next?|Next!",I've crumbled…!|I'm overflow.,Seiyah!|Showah!|Incoooming!,Ngh!|Hrm!,Retreating strategically!|I'll be back!,An opportunity should arise…|(holds out for an opportunity.),Terrible form.|(tut tuts.),"Well placed, sir!|(nods solemnly.)",I rise!,Grabbing health.,Uh oh - Oh no! Oh nononono!,I have bested three of you. Typical.,"Five of you stood against one of me, and failed.",3,3,2,4,4,2
